2015-07-25 16:48:47.335026: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:48:51.060239: updated weight of base 1, zone 1 to 0.14
2015-07-25 16:48:54.775452: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:48:58.477663: updated weight of base 1, zone 1 to 0.14
2015-07-25 16:49:02.164874: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:49:05.885087: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:49:09.580299: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:49:13.291511: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:49:16.984722: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:49:20.711935: updated weight of base 1, zone 1 to 0.16
2015-07-25 16:49:24.406146: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:49:26.118244: Attempting server start
2015-07-25 16:49:26.130245: Server started
2015-07-25 16:49:28.153361: updated weight of base 1, zone 1 to 0.14
2015-07-25 16:49:31.845572: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:49:35.654790: updated weight of base 1, zone 1 to 0.55
2015-07-25 16:49:39.353001: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:49:43.093215: updated weight of base 1, zone 1 to 0.54
2015-07-25 16:49:47.238452: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:49:50.933664: updated weight of base 1, zone 1 to 0.14
2015-07-25 16:49:54.702879: updated weight of base 1, zone 2 to 0.47
2015-07-25 16:49:58.494096: updated weight of base 1, zone 1 to 0.14
2015-07-25 16:50:02.055300: updated weight of base 1, zone 2 to 0.48
2015-07-25 16:50:05.753511: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:50:09.473724: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:50:13.889977: zones for base 1 requested
2015-07-25 16:50:17.724196: zones for base 2 requested
2015-07-25 16:50:21.620419: zones for base 3 requested
